Happy,Angry,Surprise,Sad,Fear
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,1
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,1,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,1,0
0,0,0,0,0
1,0,0,0,1
0,0,1,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,0,0
1,1,0,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,1
0,0,0,0,1
1,0,0,0,1
0,0,0,0,1
0,0,1,0,0
0,0,0,1,1
1,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,0,1
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,1,0,1
0,0,0,1,0
0,0,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,1,0,0
1,1,0,0,0
1,0,0,0,1
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,1,0,1
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,1,0,1
0,0,0,1,1
1,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,0
0,1,0,0,0
0,0,1,1,1
0,0,1,1,0
0,0,1,0,0
0,0,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,1,1,1
1,0,1,1,1
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,1,0,0
0,0,0,0,0
1,0,0,0,0
1,0,1,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,1,0
0,0,0,0,0
0,0,1,0,0
0,0,0,0,0
1,0,1,0,0
1,0,0,0,0
1,0,0,0,0
