Happy,Angry,Surprise,Sad,Fear
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.5,0.5,0.0
0.0,0.33,0.33,0.33,0.0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0
0.67,0.0,0.33,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0,0,0,0,0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0,0,0,0,0
1.0,0.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.0,0.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.5,0.0,0.0,0.5,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.0,0.0,0.0,0.0,0.0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0,0,0,0,0
0.0,0.5,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.5,0.5,0.0
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0.75,0.0,0.25,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.67,0.33,0.0
0,0,0,0,0
0,0,0,0,0
0.33,0.0,0.33,0.17,0.17
0.0,1.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0.0,0.5,0.0,0.0,0.5
0.0,0.0,0.0,0.5,0.5
0.0,0.5,0.0,0.5,0.0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0.0,0.0,0.5,0.0,0.5
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0.0,0.5,0.0,0.5,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.33,0.0,0.0,0.67
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.0
0.5,0.0,0.0,0.5,0.0
0.25,0.0,0.25,0.25,0.25
0.0,0.0,0.0,1.0,0.0
0.75,0.0,0.25,0.0,0.0
0.0,0.0,0.5,0.0,0.5
0.29,0.14,0.29,0.0,0.29
0.0,0.0,0.0,0.0,1.0
0.67,0.0,0.33,0.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.67,0.0,0.33
0.0,0.0,0.33,0.33,0.33
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.5,0.5
0,0,0,0,0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0,0,0,0,0
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.5,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.33,0.67
0.0,0.0,0.0,1.0,0.0
0,0,0,0,0
0,0,0,0,0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0,0,0,0,0
0,0,0,0,0
